tweet_textall_hashtags

b'Thank\xe2\x80\x99s for y\xe2\x80\x99all Support \xf0\x9f\x91\x89\xf0\x9f\x92\xaf #TuneIn @ https://t.co/PiElceHnYs #VIPList #SoundCloud #TuneIn #NowPlaying #Miami #Spotify #Google #iTunes #Deezer #Tidal #jetblue #johnjohn #johnjohnmarket #tharadio #rap #Follow #Twitter #Music @\xe2\x80\xa6 https://t.co/F3T1KEEk0q',"['TuneIn', 'VIPList', 'SoundCloud', 'TuneIn', 'NowPlaying', 'Miami', 'Spotify', 'Google', 'iTunes', 'Deezer', 'Tidal', 'jetblue', 'johnjohn', 'johnjohnmarket', 'tharadio', 'rap', 'Follow', 'Twitter', 'Music']"
,
b'#JetBlue Gate Agent #TiffanyJenkins Could Get 20 Years for Ticket Scam https://t.co/TOCxyKgNoL  And it only took her ridiculously overdoing it OVER 500 TIMES for Jet Blue to catch on.  Quality control at its finest.',"['JetBlue', 'TiffanyJenkins']"
,
"b'Made a good move today with #JetBlue also. They beat earnings expectations, although seat mile will slow, fuel cost are also going down. Up 7.31% today \xf0\x9f\x91\x8c\xf0\x9f\xa4\x97\xf0\x9f\xa4\x91'",['JetBlue']
,
b'Awful experience at BNA #jetblue.  One ticket representative who disappeared and came back. Then we got pushed aside only to have people cut in front of us. Then he couldn\xe2\x80\x99t print out baggage tickets. Next time I am taking #Delta',"['jetblue', 'Delta']"
,
"b""#Yep ... this ain't #JetBlue instead. #Nope ... something else special as what you find #below https://t.co/f3qFd6FcVR https://t.co/FhS69WUfpp""","['Yep', 'JetBlue', 'Nope', 'below']"
,
b'@JetBlue our infants car seat was destroyed by Jet Blue employees on Monday. Our case still hasn\xe2\x80\x99t been assigned to an agent. How is this possible #JetBlue',['JetBlue']
,
"b""How turning off phone notifications helps the president of #JetBlue's VC arm avoid multitasking and get things done via @businessinsider #Productivity https://t.co/pTWaCBTJrG https://t.co/nNHkVGPw9G""","['JetBlue', 'Productivity']"
,
b'Wooo hoooo!!! Hurry!! Got alot of hugging to do!! #cousins #blessed #fantasyfootball #workdoesntstop #Realtor #realestate #lovewhatido #love #loveflying \xe2\x9c\x88  #jetblue @ Fort\xe2\x80\xa6 https://t.co/vTJ6RjDLFp',"['cousins', 'blessed', 'fantasyfootball', 'workdoesntstop', 'Realtor', 'realestate', 'lovewhatido', 'love', 'loveflying', 'jetblue']"
,
"b'Airline staff commits $785,000 fraud by upgrading tickets of friends and family; #JetBlue #Boston #UnitedStates   https://t.co/yaumiMCJLV'","['JetBlue', 'Boston', 'UnitedStates']"
,
b'Gate Agent Facing Jail Time for Flight Upgrade Scam https://t.co/4x1IEg9JSw via @TravelPulse #JetBlue',['JetBlue']
,
"b'Airline staff commits $785,000 fraud by upgrading tickets of friends and family..... #JetBlue #Boston #UnitedStates   https://t.co/yaumiMUkDt'","['JetBlue', 'Boston', 'UnitedStates']"
,
b'Nice flight. #jetblue https://t.co/83bsGebzVs',['jetblue']
,
b'@JetBlue Had to make an emergency return to LGA from BOS (&lt;24 hrs from planned) Was charged $330 to change single flight while original round trip was $366. No standby offered &amp; flight I was put on was half empty. Normally fly #jetblue exclusively for domestic business. No more.',['jetblue']
,
"b'Airline staff commits $785,000 fraud by upgrading tickets of friends and family.... #JetBlue #Boston #UnitedStates   https://t.co/yaumiMUkDt'","['JetBlue', 'Boston', 'UnitedStates']"
,
b'. @TSA @JetBlue @SeaTacAirport this is the state of the zipper on my luggage upon arrival at JFK. Thanks a fucklot. #jetblue #tsa #seatac https://t.co/HaQSLY42Dd',"['jetblue', 'tsa', 'seatac']"
,
"b'Airline staff commits $785,000 fraud by upgrading tickets of friends and family... #JetBlue #Boston #UnitedStates   https://t.co/yaumiMCJLV'","['JetBlue', 'Boston', 'UnitedStates']"
,
"b'Airline staff commits $785,000 fraud by upgrading tickets of friends and family.. #JetBlue #Boston #UnitedStates   https://t.co/yaumiMUkDt'","['JetBlue', 'Boston', 'UnitedStates']"
,
"b'Airline staff commits $785,000 fraud by upgrading tickets of friends and family. #JetBlue #Boston #UnitedStates   https://t.co/yaumiMCJLV'","['JetBlue', 'Boston', 'UnitedStates']"
,
"b'@JetBlue You offered gate check for carry-ons for FREE in the past. Why would charging $5 make people want to do it?! You\xe2\x80\x99re my favorite airline, don\xe2\x80\x99t charge for gate checks! #JetBlue #NoFees #MCO #OIA'","['JetBlue', 'NoFees', 'MCO', 'OIA']"
,
"b'Airline staff commits $785,000 fraud by upgrading tickets of friends and family #JetBlue #Boston #UnitedStates   https://t.co/yaumiMCJLV'","['JetBlue', 'Boston', 'UnitedStates']"
,
"b'Airline staff commits $785,000 fraud by upgrading tickets of friends and family* #JetBlue #Boston #UnitedStates   https://t.co/yaumiMUkDt'","['JetBlue', 'Boston', 'UnitedStates']"
,
"b'My job and my bike have brought me to some amazing places, it\xe2\x80\x99s even better when I get to combine them. \xf0\x9f\x93\xb8 greghillson #pilotlife #jetblue https://t.co/Ymm78JvNOt'","['pilotlife', 'jetblue']"
,
"b'A nice looking special scheme of @JetBlue ""Blueprint Livery"" on approach to @JFKairport in blue skies.    #avgeek #aviation #JetBlue #Embraer #Blueprint #JFK #Airtravel #NewYork https://t.co/GFIIvAy9sz'","['avgeek', 'aviation', 'JetBlue', 'Embraer', 'Blueprint', 'JFK', 'Airtravel', 'NewYork']"
,
"b'Airline staff commits $785,000 fraud by upgrading tickets of friends and family #JetBlue #Boston #UnitedStates   https://t.co/x824p96Myt'","['JetBlue', 'Boston', 'UnitedStates']"
,
b'A view over BOS airport when the pilot had to fly around after some geese were flying in front of the runway on final approach #Boston #Logan #jetblue https://t.co/DNnWKbgOl6',"['Boston', 'Logan', 'jetblue']"
,
b'Life with #adhd is hard says #jetblue founder David Neeleman - but the ability to hyper focus and obsess/learn everything about a topic is gift to entrepreneurship (who else gets so excited @ their work in shower they have to take notes immediately after?) #anxach #HIBTSummit',"['adhd', 'jetblue', 'anxach', 'HIBTSummit']"
,
"b""Is the @JetBlue website down for anyone else? Can't pick flights, can't book flights, and can't sign in. #JetBlue""",['JetBlue']
,
b'Well damn!  #jetblue #travel https://t.co/2X2X1iq52i',"['jetblue', 'travel']"
,
